epoch,reward,delivered,quantile,trajectories,type,sample_count
38,-194.96,32,0.2,1000,Random start,5
39,-199.7,19,0.2,1000,Random start,5
40,-203.35,27,0.2,1000,Random start,5
41,-196.72,25,0.2,1000,Random start,5
42,-192.17,30,0.2,1000,Random start,5
43,-185.97,30,0.2,1000,Random start,5
44,-178.13,35,0.2,1000,Random start,5
45,-175.71,41,0.2,1000,Random start,5
46,-178.17,37,0.2,1000,Random start,5
47,-175.92,45,0.2,1000,Random start,5
48,-163.71,38,0.2,1000,Random start,5
49,-166.74,49,0.2,1000,Random start,5
50,-154.03,56,0.2,1000,Random start,5
51,-149.3,59,0.2,1000,Random start,5
52,-162.6,53,0.2,1000,Random start,5
53,-161.54,52,0.2,1000,Random start,5
54,-152.84,57,0.2,1000,Random start,5
55,-141.24,67,0.2,1000,Random start,5
56,-142.47,63,0.2,1000,Random start,5
57,-136.59,66,0.2,1000,Random start,5
58,-143.56,71,0.2,1000,Random start,5
59,-139.56,73,0.2,1000,Random start,5
60,-123.91,85,0.2,1000,Random start,5
61,-130.03,85,0.2,1000,Random start,5
62,-134.21,75,0.2,1000,Random start,5
63,-126.0,82,0.2,1000,Random start,5
64,-125.7,87,0.2,1000,Random start,5
65,-103.2,91,0.2,1000,Random start,5
66,-107.59,90,0.2,1000,Random start,5
67,-113.85,89,0.2,1000,Random start,5
68,-104.79,92,0.2,1000,Random start,5
69,-108.34,93,0.2,1000,Random start,5
70,-91.12,95,0.2,1000,Random start,5
71,-98.68,96,0.2,1000,Random start,5
72,-93.24,96,0.2,1000,Random start,5
73,-92.27,97,0.2,1000,Random start,5
74,-89.3,99,0.2,1000,Random start,5
75,-82.35,99,0.2,1000,Random start,5
76,-83.28,97,0.2,1000,Random start,5
77,-80.83,99,0.2,1000,Random start,5
78,-75.84,97,0.2,1000,Random start,5
79,-68.59,98,0.2,1000,Random start,5
80,-91.46,96,0.2,1000,Random start,5
81,-76.07,98,0.2,1000,Random start,5
82,-80.97,97,0.2,1000,Random start,5
83,-68.71,100,0.2,1000,Random start,5
84,-63.04,99,0.2,1000,Random start,5
85,-66.38,100,0.2,1000,Random start,5
86,-69.38,98,0.2,1000,Random start,5
87,-73.1,98,0.2,1000,Random start,5
88,-70.12,98,0.2,1000,Random start,5
89,-64.5,100,0.2,1000,Random start,5
90,-78.7,97,0.2,1000,Random start,5
91,-74.18,97,0.2,1000,Random start,5
92,-68.51,98,0.2,1000,Random start,5
93,-69.29,98,0.2,1000,Random start,5
94,-63.06,98,0.2,1000,Random start,5
95,-60.29,99,0.2,1000,Random start,5
96,-75.95,99,0.2,1000,Random start,5
97,-60.51,100,0.2,1000,Random start,5
98,-60.68,100,0.2,1000,Random start,5
99,-66.84,99,0.2,1000,Random start,5
0,-367.22,3,0.5,1000,Random start,5
1,-364.94,1,0.5,1000,Random start,5
2,-350.82,2,0.5,1000,Random start,5
